Nonce Bits | Signatures |  Success Rate (%)
---------------------------------------------
       128 |          2 |             100.0
       160 |          2 |             100.0
       192 |          2 |             100.0
       224 |          2 |             100.0
       256 |          2 |              60.0
       256 |          3 |              60.0
       256 |          4 |              60.0
       256 |          5 |              80.0
       256 |          6 |              70.0
       256 |          7 |              60.0
       256 |          8 |              80.0
       256 |          9 |              60.0
       256 |         10 |              70.0
       256 |         11 |              70.0
       256 |         12 |              80.0
       256 |         13 |              70.0
       256 |         14 |              70.0
       256 |         15 |              80.0
       256 |         16 |              90.0
       257 |          2 |              50.0
       257 |          3 |              30.0
       257 |          4 |              60.0
       257 |          5 |              30.0
       257 |          6 |              30.0
       257 |          7 |              20.0
       257 |          8 |              50.0
       257 |          9 |              30.0
       257 |         10 |              50.0
       257 |         11 |              30.0
       257 |         12 |              50.0
       257 |         13 |              20.0
       257 |         14 |              20.0
       257 |         15 |              50.0
       257 |         16 |              60.0
       257 |         17 |              40.0
       257 |         18 |              40.0
       257 |         19 |              40.0
       257 |         20 |              50.0
       257 |         21 |              50.0
       257 |         22 |              30.0
       257 |         23 |              40.0
       257 |         24 |              60.0
       257 |         25 |              50.0
       257 |         26 |              50.0
       257 |         27 |              60.0
       257 |         28 |              30.0
       257 |         29 |              40.0
       257 |         30 |              60.0
       257 |         31 |              10.0
       257 |         32 |              30.0
       257 |         33 |              30.0
       257 |         34 |              40.0
       257 |         35 |              20.0
       257 |         36 |              30.0
       257 |         37 |              50.0
       257 |         38 |              40.0
       257 |         39 |              40.0
       257 |         40 |              20.0
       257 |         41 |              40.0
       257 |         42 |              60.0
       257 |         43 |              50.0
       257 |         44 |              30.0
       257 |         45 |              30.0
       257 |         46 |              20.0
       257 |         47 |              50.0
       257 |         48 |              40.0
       257 |         49 |              30.0
       257 |         50 |              40.0
       258 |          2 |              20.0
       258 |          3 |               0.0
       258 |          4 |              40.0
       258 |          5 |              10.0
       258 |          6 |              10.0
       258 |          7 |              40.0
       258 |          8 |              10.0
       258 |          9 |              10.0
       258 |         10 |              20.0
       258 |         11 |              10.0
       258 |         12 |              10.0
       258 |         13 |              20.0
       258 |         14 |              20.0
       258 |         15 |              10.0
       258 |         16 |              20.0
       258 |         17 |               0.0
       258 |         18 |              10.0
       258 |         19 |              20.0
       258 |         20 |              10.0
       258 |         21 |              10.0
       258 |         22 |              40.0
       258 |         23 |              10.0
       258 |         24 |               0.0
       258 |         25 |              20.0
       258 |         26 |              20.0
       258 |         27 |              30.0
       258 |         28 |              20.0
       258 |         29 |              10.0
       258 |         30 |              20.0
       258 |         31 |              20.0
       258 |         32 |              50.0
       258 |         33 |              10.0
       258 |         34 |              40.0
       258 |         35 |              30.0
       258 |         36 |              30.0
       258 |         37 |              50.0
       258 |         38 |              10.0
       258 |         39 |               0.0
       258 |         40 |              20.0
       258 |         41 |              10.0
       258 |         42 |              10.0
       258 |         43 |              10.0
       258 |         44 |              20.0
       258 |         45 |              20.0
       258 |         46 |              20.0
       258 |         47 |              10.0
       258 |         48 |              10.0
       258 |         49 |               0.0
       258 |         50 |              30.0
       259 |          2 |              20.0
       259 |          3 |              20.0
       259 |          4 |              20.0
       259 |          5 |              30.0
       259 |          6 |               0.0
       259 |          7 |              20.0
       259 |          8 |              10.0
       259 |          9 |              10.0
       259 |         10 |               0.0
       259 |         11 |              20.0
       259 |         12 |              10.0
       259 |         13 |              10.0
       259 |         14 |               0.0
       259 |         15 |               0.0
       259 |         16 |               0.0
       259 |         17 |              20.0
       259 |         18 |              10.0
       259 |         19 |               0.0
       259 |         20 |              20.0
       259 |         21 |              30.0
       259 |         22 |              30.0
       259 |         23 |              20.0
       259 |         24 |              20.0
       259 |         25 |              20.0
       259 |         26 |              20.0
       259 |         27 |              20.0
       259 |         28 |              10.0
       259 |         29 |              10.0
       259 |         30 |               0.0
       259 |         31 |              20.0
       259 |         32 |              10.0
       259 |         33 |               0.0
       259 |         34 |               0.0
       259 |         35 |              10.0
       259 |         36 |              10.0
       259 |         37 |              10.0
       259 |         38 |               0.0
       259 |         39 |              20.0
       259 |         40 |               0.0
       259 |         41 |               0.0
       259 |         42 |              10.0
       259 |         43 |              10.0
       259 |         44 |              10.0
       259 |         45 |              20.0
       259 |         46 |              30.0
       259 |         47 |               0.0
       259 |         48 |              10.0
       259 |         49 |               0.0
       259 |         50 |              10.0
       260 |          2 |               0.0
       260 |          3 |              10.0
       260 |          4 |              10.0
       260 |          5 |               0.0
       260 |          6 |               0.0
       260 |          7 |              20.0
       260 |          8 |               0.0
       260 |          9 |               0.0
       260 |         10 |               0.0
       260 |         11 |               0.0
       260 |         12 |               0.0
       260 |         13 |               0.0
       260 |         14 |               0.0
       260 |         15 |              10.0
       260 |         16 |               0.0
       260 |         17 |               0.0
       260 |         18 |               0.0
       260 |         19 |               0.0
       260 |         20 |               0.0
       260 |         21 |              10.0
       260 |         22 |               0.0
       260 |         23 |              10.0
       260 |         24 |               0.0
       260 |         25 |               0.0
       260 |         26 |               0.0
       260 |         27 |              10.0
       260 |         28 |               0.0
       260 |         29 |               0.0
       260 |         30 |              10.0
       260 |         31 |              10.0
       260 |         32 |              10.0
       260 |         33 |              10.0
       260 |         34 |               0.0
       260 |         35 |               0.0
       260 |         36 |               0.0
       260 |         37 |               0.0
       260 |         38 |               0.0
       260 |         39 |               0.0
       260 |         40 |               0.0
       260 |         41 |              20.0
       260 |         42 |              10.0
       260 |         43 |              10.0
       260 |         44 |               0.0
       260 |         45 |              10.0
       260 |         46 |               0.0
